algorithm,seed,budget,evaluations,best_observed,post_mean_best_observed,post_median_best_observed,post_cvar20_best_observed,post_mean,post_median,post_cvar20,postselect_k
BERW-HeteroRobust,1,800,800,1785.52418093672,3860.6394636411746,2916.670863515037,8101.64776815832,2984.3117546653502,2690.5565421397077,4510.117923241324,5
BERW-HeteroRobust,2,800,800,2246.9728795265605,5499.685963682671,4899.237539004566,9373.687666083397,4803.955329329938,4374.452509073799,8138.794255343718,5
BERW-HeteroRobust,3,800,800,2438.4877369742358,8409.361597620584,6146.150670359477,18549.701825785454,6338.3868597223645,5696.109763398311,10904.484487555408,5
BERW-HeteroRobust,4,800,800,2107.196249461052,4157.300909859905,3580.9780010775207,7262.649740619737,4637.732931490952,3601.572366503937,9598.395526319267,5
BERW-HeteroRobust,5,800,800,2770.884556310179,33134.02532786331,4091.912232865885,147792.47313146017,5231.122344142339,4340.90786728109,9668.678458163802,5
BERW-HeteroRobust,6,800,800,2678.6703497670546,70880.4669990051,3938.751823911416,334078.5682275978,5837.992896887721,4191.366609064467,12991.131456226114,5
BERW-HeteroRobust,7,800,800,1708.710666873634,13708.034981841502,3441.499153797064,54547.6020428741,3908.8920006146,3283.8966600125304,6928.250603283274,5
BERW-HeteroRobust,8,800,800,2400.528347221215,4889.334878194436,4125.69789619726,8649.944788402861,5367.101675480242,4711.117569665311,8877.456712331947,5
BERW-HeteroRobust,9,800,800,1938.355012964403,21607.689427912832,3495.6641111196495,93494.4116730171,7214.109029690429,3229.046361810706,23583.38490513352,5
BERW-HeteroRobust,10,800,800,3347.0846989400234,7262.336817925212,6371.852943735271,12592.187843460162,6753.61601152259,5746.564170665923,12640.172708948705,5
BERW-HeteroRobust,11,800,800,1584.2268833367739,3459.2165440978342,3080.0757515009536,5460.0735226662355,2902.3881564747135,2490.1409725835438,4958.256340900482,5
BERW-HeteroRobust,12,800,800,1522.6869794321806,3754.6882347681976,3175.1005034907093,6639.0188501712355,83232.84159605864,2875.4358308965466,399009.37046495895,5
BERW-HeteroRobust,13,800,800,3376.9743517895654,7173.796197049809,6145.701059493469,13182.898186058934,5982.1804598103645,5230.142923486053,10386.84912658608,5
BERW-HeteroRobust,14,800,800,2383.8928652601376,5140.799282120719,4566.261466598706,8655.815528716603,4871.116704837203,4067.1960554005095,8783.688332579164,5
BERW-HeteroRobust,15,800,800,2711.3260030219626,1087531.3483965578,4693.555917445101,5336078.191577439,9831.590908157728,5466.440291984454,28216.923918179647,5
BERW-HeteroRobust,16,800,800,1783.7087061977095,3398.7401651200016,3005.813859987644,5466.899471771769,3331.836358063868,3011.353155827088,5260.869624110331,5
BERW-HeteroRobust,17,800,800,2286.9671759846447,4367.709943815618,4023.3238080859655,6584.347456891101,4233.255398715709,3896.142935796708,6383.242944002794,5
BERW-HeteroRobust,18,800,800,4111.367650334964,83559.82805785694,22360.989756323608,327581.7388447085,26398.578155569237,13898.041934357894,81585.07985827529,5
BERW-HeteroRobust,19,800,800,2356.435845212213,6510.210784526206,5634.021114457396,11636.738207535393,16432.41787931968,7814.194639447881,51995.72402040843,5
BERW-HeteroRobust,20,800,800,2269.3810786453796,6529.691410549832,4646.286985047933,15048.764136707478,4976.56097165281,4399.015792693628,8330.31116276963,5
BERW-HeteroRobust,21,800,800,2793.4101623854826,6285.60772363435,5611.490222589309,9931.066894183354,5954.519541094547,5194.8841666717835,10367.566835200078,5
BERW-HeteroRobust,22,800,800,1714.0457326134306,3330.9211583404303,3080.9676877762854,5118.7210005850175,3359.7575455827464,2968.4726348263293,5430.756951183007,5
BERW-HeteroRobust,23,800,800,3524.6410958449806,11764.150980836306,8616.43920202921,25915.591007447765,10038.47980102937,8258.700433488008,19936.00704821059,5
BERW-HeteroRobust,24,800,800,6312.703380827995,146903.32322163958,21256.62730921391,641404.808246556,19940.001283640868,13131.789526497063,49990.04835942885,5
BERW-HeteroRobust,25,800,800,2849.650418896462,17552.737165574123,10213.40066778266,47871.63826694277,8593.526675035657,5826.914228992944,20514.04095317371,5
BERW-HeteroRobust,26,800,800,1970.3124655752015,7514.009482474281,3645.4118747511866,23468.904495158153,5597.453638221285,3473.869492414542,14459.279695625575,5
BERW-HeteroRobust,27,800,800,3839.2787350548315,345148.80097534304,11457.213758757725,1644684.274347028,61952.595945283094,11219.747444845852,263733.38218769524,5
BERW-HeteroRobust,28,800,800,4414.792130070597,125037.81858864255,15297.460475900658,558999.7751220725,585053.3750914219,10847.697556770288,2833059.405530902,5
BERW-HeteroRobust,29,800,800,1636.3591613357532,4171.091000611294,3245.047196933786,8616.671429310376,3440.431272904787,3202.094462974382,4963.743630692365,5
BERW-HeteroRobust,30,800,800,1841.3272786862722,38863.37812258824,4515.974354992491,174809.18290177247,4478.170361862749,3646.5097763097556,8570.082463221059,5
BERW-HeteroRobust,31,800,800,1729.7063371658815,11016.346681308987,6851.667758628083,28930.555433828544,7280.93220337123,5209.231343980631,17203.785602691732,5
BERW-HeteroRobust,32,800,800,3250.9823218072506,68306.14556651251,8716.665885091343,305124.26158294274,78228.09168126041,8283.876273825856,355166.87129357946,5
BERW-HeteroRobust,33,800,800,2610.6760312339397,7715.671230600337,5912.067448045845,16665.373495524695,5159.4457193418675,4550.88829419007,8740.951989132007,5
BERW-HeteroRobust,34,800,800,2682.025017043278,9031.199534033913,7030.724080135471,18564.968849273013,7531.298876392366,6034.047942786352,14593.922872053341,5
BERW-HeteroRobust,35,800,800,2030.7719259620294,5676.072591629977,4588.2169046711915,10895.242298429741,4689.816073181135,3951.049436926678,8392.419947283935,5
BERW-HeteroRobust,36,800,800,2696.183804451718,5711.100861679508,4843.853251851768,10503.511180546822,4718.157367535277,4264.355638434123,7461.799052700438,5
BERW-HeteroRobust,37,800,800,2720.032351597695,30120.144932632313,7876.748677108426,120074.94725862703,13392.780844041921,6321.244967616891,42361.81195319682,5
BERW-HeteroRobust,38,800,800,1904.0345172673242,3091.423422846411,2739.7482317194626,4801.696383992078,3294.3504881443414,2905.57596575145,5343.502766213346,5
BERW-HeteroRobust,39,800,800,1420.663564708723,3064.3787240792944,2847.297852665144,4481.512979411364,3137.225219319877,2869.1441965669715,4866.053495089945,5
BERW-HeteroRobust,40,800,800,3722.3645975240106,11137.928658916391,8551.495877138675,24122.676151497035,9599.400552458454,7807.322676624815,18444.72828348718,5
BERW-HeteroRobust,41,800,800,1889.0293113480063,5893.418200285214,3614.431190200196,15771.151198800442,5010.492975006802,3584.4890801040888,11470.106764188806,5
BERW-HeteroRobust,42,800,800,1913.1450871774089,5493.406405670939,3400.7163630040686,14595.629575931669,3940.0194991600974,3541.0269368938784,6475.540750356395,5
BERW-HeteroRobust,43,800,800,2385.1001905447256,11421.067666273917,3941.952493573859,41291.44241590102,14695.12296959879,4025.4167948818053,56944.9171429763,5
BERW-HeteroRobust,44,800,800,2680.9419357447423,4576.275941912861,4231.339723517769,6965.849013941424,4605.97439978351,4201.868912997858,6974.9986922734015,5
BERW-HeteroRobust,45,800,800,2198.875994236253,3781.241431911815,3520.3019752359396,5657.0670799968275,3618.024001348682,3361.898916397594,5359.188713704938,5
BERW-HeteroRobust,46,800,800,5959.099176754289,3254425.5979052,779438.2970653375,12276395.732989762,2854963.7268055216,581693.2630232371,11038232.752106728,5
BERW-HeteroRobust,47,800,800,3241.3667911683733,127747.8117256567,5956.791362812698,606925.6261155861,6778.131812514688,5454.729151855389,13555.447575304395,5
BERW-HeteroRobust,48,800,800,4993.966927748356,13816.661983835067,12145.64844172383,24587.612921144486,13118.049769432997,10454.854796881864,26640.628028250627,5
BERW-HeteroRobust,49,800,800,2333.718187725427,6225.6821990991575,3858.7096010423766,16377.106260178623,57716.68879476795,3563.8783799317334,270875.14733592706,5
BERW-HeteroRobust,50,800,800,2594.4992225927963,14431.910177950671,5760.422343454079,49285.65859924625,6279.185821043496,4930.273602971665,12662.665493795303,5
CMA-ES-sep,1,800,800,1888.6492344987837,4048.2650098874255,3143.7010270001774,8330.315964477324,3095.4491483810707,2860.4674762718087,4665.831974130308,5
CMA-ES-sep,2,800,800,2251.9650073263747,6067.334100300015,5537.386467613569,10209.624024779932,5251.593135104751,4662.767362614587,8741.545268978505,5
CMA-ES-sep,3,800,800,2837.3525010589383,7382.152788549436,6587.834329218338,13229.344803637794,6207.711553423663,5722.407455531627,9846.812444835241,5
CMA-ES-sep,4,800,800,2524.856306786337,5277.914573211164,4750.431572703999,8562.868561746158,5541.7760861365705,4430.5079163717755,11005.268723413985,5
