GPU,Model,M,cuBLASLt Latency (μs),2:4,2:6,2:8,2:10,2:12,2:14,2:16,2:∞
GB10,Llama3.2-1B,64,,,,,,,,,
GB10,Llama3.2-1B,128,,,,,,,,,
GB10,Llama3.2-1B,256,,,,,,,,,
GB10,Llama3.2-1B,512,,,,,,,,,
GB10,Llama3.2-1B,1024,,,,,,,,,
GB10,Llama3.2-1B,2048,,,,,,,,,
GB10,Llama3.2-1B,4096,,,,,,,,,
GB10,Llama3.2-1B,8192,,,,,,,,,
GB10,Llama3.2-3B,64,,,,,,,,,
GB10,Llama3.2-3B,128,,,,,,,,,
GB10,Llama3.2-3B,256,,,,,,,,,
GB10,Llama3.2-3B,512,,,,,,,,,
GB10,Llama3.2-3B,1024,,,,,,,,,
GB10,Llama3.2-3B,2048,,,,,,,,,
GB10,Llama3.2-3B,4096,,,,,,,,,
GB10,Qwen2.5-7B,64,,,,,,,,,
GB10,Qwen2.5-7B,128,,,,,,,,,
GB10,Qwen2.5-7B,256,,,,,,,,,
GB10,Qwen2.5-7B,512,,,,,,,,,
GB10,Qwen2.5-7B,1024,,,,,,,,,
GB10,Qwen2.5-7B,2048,,,,,,,,,
GB10,Qwen2.5-7B,4096,,,,,,,,,
GB10,Qwen2.5-7B,8192,,,,,,,,,
GB10,Qwen2.5-14B,64,,,,,,,,,
GB10,Qwen2.5-14B,128,,,,,,,,,
GB10,Qwen2.5-14B,256,,,,,,,,,
GB10,Qwen2.5-14B,512,,,,,,,,,
GB10,Qwen2.5-14B,1024,,,,,,,,,
GB10,Qwen2.5-14B,2048,,,,,,,,,
GB10,Qwen2.5-14B,4096,,,,,,,,,
GB10,Qwen2.5-14B,8192,,,,,,,,,
GB10,Qwen2.5-14B,16384,,,,,,,,,
