algorithm,seed,max_evals,evaluations,best_noisy,post_true,post_return_mean,post_loss_median,post_loss_cvar20
BERW-HeteroRobust,1,258,258,9.64006201441253,24.775336027017126,-24.775336027017126,8.86936817661404,88.47007010357359
BERW-HeteroRobust,2,258,258,79.86290234161437,178.14188136163165,-178.14188136163165,62.99460436610378,518.9930313118225
BERW-HeteroRobust,3,258,258,5.973406590260243,50.64217089602823,-50.64217089602823,20.71231370685514,171.24086920096607
BERW-HeteroRobust,4,258,258,173.17532637077193,179.75483431012862,-179.75483431012862,111.30933967088586,507.8234469995935
BERW-HeteroRobust,5,258,258,23.353552458656374,279.6642785049364,-279.6642785049364,273.20621141528534,597.0416078183324
BERW-HeteroRobust,6,258,258,53.976597190650466,146.51954069898136,-146.51954069898136,72.84012991884634,445.78495305429703
BERW-HeteroRobust,7,258,258,3.9200299330474864,93.44090583474534,-93.44090583474534,6.579893122161589,364.8359876638561
BERW-HeteroRobust,8,258,258,362.8847625539094,408.7693279836286,-408.7693279836286,424.41454129440376,619.4792323680774
BERW-HeteroRobust,9,258,258,2.638512970919986,26.19787468856522,-26.19787468856522,8.577419649103946,99.66735190348618
BERW-HeteroRobust,10,258,258,513.0920960381806,492.9294650342855,-492.9294650342855,530.9873928169311,628.1940175383029
BERW-HeteroRobust,11,258,258,24.408129163998165,418.8793874371914,-418.8793874371914,431.6262157505224,654.9806746900451
BERW-HeteroRobust,12,258,258,258.50468464260973,201.5716001395051,-201.5716001395051,145.26141994370118,497.6249074442649
BERW-HeteroRobust,13,258,258,18.33909857001129,32.451742546939776,-32.451742546939776,16.463667295569863,104.51060156978156
BERW-HeteroRobust,14,258,258,8.73193804341494,44.360477668548214,-44.360477668548214,9.32057762589308,185.27327605153874
BERW-HeteroRobust,15,258,258,66.33655816876689,200.62588715416774,-200.62588715416774,68.21480736013368,695.5131629352244
BERW-HeteroRobust,16,258,258,18.968944385845777,114.28557336438382,-114.28557336438382,35.77853924520096,406.67747293794787
BERW-HeteroRobust,17,258,258,211.9899730419954,186.68274691724906,-186.68274691724906,129.71645865280578,445.2871600170737
BERW-HeteroRobust,18,258,258,8.599153073578377,31.639712415749326,-31.639712415749326,11.205498082664505,116.40005721295748
BERW-HeteroRobust,19,258,258,5.077992289283416,41.30374466654884,-41.30374466654884,7.494541246432201,175.4814020434291
BERW-HeteroRobust,20,258,258,70.58569961575816,205.13617161064687,-205.13617161064687,210.46335184194794,348.3237303049892
BERW-HeteroRobust,21,258,258,7.238287763716281,61.21961866367744,-61.21961866367744,9.53210712588804,263.66186087877065
BERW-HeteroRobust,22,258,258,32.27121380123752,401.16015712807746,-401.16015712807746,434.57677443241835,659.2024140454155
BERW-HeteroRobust,23,258,258,193.04626529220513,281.49324595728757,-281.49324595728757,333.8399917102163,513.491651230517
BERW-HeteroRobust,24,258,258,7.5202299448017875,222.3709486852502,-222.3709486852502,193.2748192252884,522.1716768999565
BERW-HeteroRobust,25,258,258,2.0913141048846917,107.6516076443833,-107.6516076443833,24.024584019412295,388.84959593653286
BERW-HeteroRobust,26,258,258,174.9463125686225,54.676718340777654,-54.676718340777654,17.496377132926995,192.9023678737788
BERW-HeteroRobust,27,258,258,162.7425684218781,185.46497538780548,-185.46497538780548,119.9741652814526,496.71784375634746
BERW-HeteroRobust,28,258,258,6.216336246338668,28.660632752568493,-28.660632752568493,15.17776834393721,86.66113358403794
BERW-HeteroRobust,29,258,258,26.09424112409921,144.11024796619319,-144.11024796619319,25.15705741382353,563.7159468521081
BERW-HeteroRobust,30,258,258,90.07781879316589,129.20735000698306,-129.20735000698306,47.065169974504016,376.67995735307215
BERW-HeteroRobust,31,258,258,8.856693512446109,50.2098576474817,-50.2098576474817,20.478806814396936,175.03568180965672
BERW-HeteroRobust,32,258,258,44.718935625897885,61.67676044454032,-61.67676044454032,25.12095700616604,216.96197251799174
